Matrix code,Species names,Phyllum,Subphyllum,Traits,TL,Functional group,Harvested species,Motility,BodyMass,Cluster
1,acanthina monodon,Mollusca,Gastropoda,Predator,Predator,Gastropoda,1,M,8,4
2,acanthocyclus gayi,Arthropoda,Crustacae,Predator,Predator,Acanthocyclus,,M,6.01,1
3,acanthocyclus hassleri,Arthropoda,Crustacae,Predator,Predator,Acantochyclus,,M,6.65,1
4,acanthopleura echinata,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,1,M,5.1,7
5,chaetopleura peruviana,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,,M,0.18,7
6,chiton  cummingsi,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,,M,8.23,7
7,chiton  granosus,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,1,M,2.3,7
8,chiton  latus,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,,M,0.06,7
9,lottia  orbignyi,Mollusca,Gastropoda,Omnivore,Omnivore,Fissurellidos,,M,0.02,9
10,concholepas concholepas,Mollusca,Gastropoda,Predator,Predator,Gastropoda,1,M,2.3,1
11,enoplochiton  niger,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,,M,6,7
12,fissurella  costata,Mollusca,Gastropoda,Omnivore,Omnivore,Fissurellidos,1,M,49.03,7
13,fissurella  crassa,Mollusca,Gastropoda,Omnivore,Omnivore,Fissurellidos,1,M,15.2,7
14,fissurella  cummingi,Mollusca,Gastropoda,Omnivore,Omnivore,Fissurellidos,1,M,18,14
15,fissurella  limbata,Mollusca,Gastropoda,Omnivore,Omnivore,Fissurellidos,1,M,16.45,7
16,fissurella  maxima,Mollusca,Gastropoda,Omnivore,Omnivore,Fissurellidos,1,M,11,14
17,fissurella  picta,Mollusca,Gastropoda,Omnivore,Omnivore,Fissurellidos,1,M,15,14
18,fissurella  puhlcra,Mollusca,Gastropoda,Omnivore,Omnivore,Fissurellidos,1,M,15,14
19,heliaster helianthus,Echinodermata,Asteroidea,Predator,Predator,Sea star,,M,173.46,1
20,scurria  araucana,Mollusca,Gastropoda,Omnivore,Omnivore,Scurrias,,M,0.02,9
21,scurria  ceciliana,Mollusca,Gastropoda,Omnivore,Omnivore,Scurrias,,M,0.045,9
22,scurria  plana,Mollusca,Gastropoda,Omnivore,Omnivore,Scurrias,,M,0.03,9
23,scurria scurra,Mollusca,Gastropoda,Omnivore,Omnivore,Scurrias,1,M,1.27,9
24,scurria variabilis,Mollusca,Gastropoda,Omnivore,Omnivore,Scurrias,,M,0.3,9
25,scurria viridula,Mollusca,Gastropoda,Omnivore,Omnivore,Scurrias,,M,1.84,9
26,scurria zebrina,Mollusca,Gastropoda,Omnivore,Omnivore,Scurrias,,M,2.97,14
27,siphonaria lesoni,Mollusca,Gastropoda,Herbivore,Herbivore,Herbivores,,M,0.018,14
28,stichaster striatus,Echinodermata,Asteroidea,Omnivore,Omnivore,Sea star,,M,8.7,1
29,tegula atra,Mollusca,Gastropoda,Omnivore,Omnivore,Scurrias,1,M,1,9
30,Tonicia lineolata,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,,M,6.14,14
31,tonicia  chilensis,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,,M,6.14,14
32,tonicia  elegans,Mollusca,Polyplacophora,Omnivore,Omnivore,Chitons,,M,6.14,14
33,adenocystis utricularis,Algae,Phaeophyta,Corticated,Basal,Primary Producer,,S,4,12
34,ahnfeltiopsis spp.,Algae,Rhodophyta,Corticated,Basal,Primary Producer,,S,5.65,12
35,anthotoe spp.,Cnidaria,Anthozoa,Scavenger,Scavenger,Scavenger,,S,10,2
36,austromegabalanus psittacus,Arthropoda,Crustacae,FilterFeeder,FilterFeeder,Barnacle,1,S,0.95,13
37,balanus laevis,Arthropoda,Crustacae,FilterFeeder,FilterFeeder,Barnacle,,S,0.05,6
38,benthic_diatoms,Algae,Bacillariophacea,Ephemeral,Basal,Primary Producer,,S,0.002,3
39,brachidontes granulata,Mollusca,Bivalvia,FilterFeeder,FilterFeeder,Bivalve,,S,0.08,4
40,bryopsis_spp,Algae,Chaetophyta,Ephemeral,Basal,Primary Producer,,S,0.25,11
